movie_name,budget,revenue,genre,actors_y,directors_y
Avatar,"$237,000,000","$2,787,965,087","Action, Adventure, Fantasy, Science Fiction","Sam Worthington, Zoe Saldana, Sigourney Weaver",James Cameron
Pirates of the Caribbean: At World's End,"$300,000,000","$961,000,000","Adventure, Fantasy, Action","Johnny Depp, Orlando Bloom, Keira Knightley",Gore Verbinski
Spectre,"$245,000,000","$880,674,609","Action, Adventure, Crime","Daniel Craig, Christoph Waltz, Léa Seydoux",Sam Mendes
The Dark Knight Rises,"$250,000,000","$1,084,939,099","Action, Crime, Drama, Thriller","Christian Bale, Michael Caine, Gary Oldman",Christopher Nolan
John Carter,"$260,000,000","$284,139,100","Action, Adventure, Science Fiction","Taylor Kitsch, Lynn Collins, Samantha Morton",Andrew Stanton
Spider-Man 3,"$258,000,000","$890,871,626","Fantasy, Action, Adventure","Tobey Maguire, Kirsten Dunst, James Franco",Sam Raimi
Tangled,"$260,000,000","$591,794,936","Animation, Family","Zachary Levi, Mandy Moore, Donna Murphy",Byron Howard
Avengers: Age of Ultron,"$280,000,000","$1,405,403,694","Action, Adventure, Science Fiction","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Joss Whedon
Harry Potter and the Half-Blood Prince,"$250,000,000","$933,959,197","Adventure, Fantasy, Family","Daniel Radcliffe, Rupert Grint, Emma Watson",David Yates
Batman v Superman: Dawn of Justice,"$250,000,000","$873,260,194","Action, Adventure, Fantasy","Ben Affleck, Henry Cavill, Gal Gadot",Zack Snyder
Superman Returns,"$270,000,000","$391,081,192","Adventure, Fantasy, Action, Science Fiction","Brandon Routh, Kevin Spacey, Kate Bosworth",Bryan Singer
Quantum of Solace,"$200,000,000","$586,090,727","Adventure, Action, Thriller, Crime","Daniel Craig, Olga Kurylenko, Mathieu Amalric",Marc Forster
Pirates of the Caribbean: Dead Man's Chest,"$200,000,000","$1,065,659,812","Adventure, Fantasy, Action","Johnny Depp, Orlando Bloom, Keira Knightley",Gore Verbinski
The Lone Ranger,"$255,000,000","$89,289,910","Action, Adventure, Western","Johnny Depp, Armie Hammer, William Fichtner",Gore Verbinski
Man of Steel,"$225,000,000","$662,845,518","Action, Adventure, Fantasy, Science Fiction","Henry Cavill, Amy Adams, Michael Shannon",Zack Snyder
The Chronicles of Narnia: Prince Caspian,"$225,000,000","$419,651,413","Adventure, Family, Fantasy","Ben Barnes, William Moseley, Anna Popplewell",Andrew Adamson
The Avengers,"$220,000,000","$1,519,557,910","Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon
Pirates of the Caribbean: On Stranger Tides,"$380,000,000","$1,045,713,802","Adventure, Action, Fantasy","Johnny Depp, Penélope Cruz, Ian McShane",Rob Marshall
Men in Black 3,"$225,000,000","$624,026,776","Action, Comedy, Science Fiction","Will Smith, Tommy Lee Jones, Josh Brolin",Barry Sonnenfeld
The Hobbit: The Battle of the Five Armies,"$250,000,000","$956,019,788","Action, Adventure, Fantasy","Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson
The Amazing Spider-Man,"$215,000,000","$752,215,857","Action, Adventure, Fantasy","Andrew Garfield, Emma Stone, Rhys Ifans",Marc Webb
Robin Hood,"$200,000,000","$310,669,540","Action, Adventure","Russell Crowe, Cate Blanchett, Max von Sydow",Ridley Scott
The Hobbit: The Desolation of Smaug,"$250,000,000","$958,400,000","Adventure, Fantasy","Martin Freeman, Ian McKellen, Richard Armitage",Peter Jackson
The Golden Compass,"$180,000,000","$372,234,864","Adventure, Fantasy","Dakota Blue Richards, Nicole Kidman, Daniel Craig",Chris Weitz
King Kong,"$207,000,000","$550,000,000","Adventure, Drama, Action","Naomi Watts, Jack Black, Adrien Brody",Peter Jackson
Titanic,"$200,000,000","$1,845,034,188","Drama, Romance, Thriller","Kate Winslet, Leonardo DiCaprio, Frances Fisher",James Cameron
Captain America: Civil War,"$250,000,000","$1,153,304,495","Adventure, Action, Science Fiction","Chris Evans, Robert Downey Jr., Scarlett Johansson",Anthony Russo
Battleship,"$209,000,000","$303,025,485","Thriller, Action, Adventure, Science Fiction","Taylor Kitsch, Alexander Skarsgård, Rihanna",Peter Berg
Jurassic World,"$150,000,000","$1,513,528,810","Action, Adventure, Science Fiction, Thriller","Chris Pratt, Bryce Dallas Howard, Irrfan Khan",Colin Trevorrow
Skyfall,"$200,000,000","$1,108,561,013","Action, Adventure, Thriller","Daniel Craig, Judi Dench, Javier Bardem",Sam Mendes
Spider-Man 2,"$200,000,000","$783,766,341","Action, Adventure, Fantasy","Tobey Maguire, Kirsten Dunst, James Franco",Sam Raimi
Iron Man 3,"$200,000,000","$1,215,439,994","Action, Adventure, Science Fiction","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",Shane Black
Alice in Wonderland,"$200,000,000","$1,025,491,110","Family, Fantasy, Adventure","Mia Wasikowska, Johnny Depp, Anne Hathaway",Tim Burton
X-Men: The Last Stand,"$210,000,000","$459,359,555","Adventure, Action, Science Fiction, Thriller","Hugh Jackman, Halle Berry, Ian McKellen",Brett Ratner
Monsters University,"$200,000,000","$743,559,607","Animation, Family","Billy Crystal, John Goodman, Steve Buscemi",Dan Scanlon
Transformers: Revenge of the Fallen,"$150,000,000","$836,297,228","Science Fiction, Action, Adventure","Shia LaBeouf, Megan Fox, Josh Duhamel",Michael Bay
Transformers: Age of Extinction,"$210,000,000","$1,091,405,097","Science Fiction, Action, Adventure","Mark Wahlberg, Stanley Tucci, Kelsey Grammer",Michael Bay
Oz: The Great and Powerful,"$200,000,000","$491,868,548","Fantasy, Adventure, Family","James Franco, Mila Kunis, Rachel Weisz",Sam Raimi
The Amazing Spider-Man 2,"$200,000,000","$705,717,432","Action, Adventure, Fantasy","Andrew Garfield, Emma Stone, Jamie Foxx",Marc Webb
TRON: Legacy,"$170,000,000","$400,062,763","Adventure, Action, Science Fiction","Garrett Hedlund, Jeff Bridges, Olivia Wilde",Joseph Kosinski
Cars 2,"$200,000,000","$559,852,396","Animation, Family, Adventure, Comedy","Owen Wilson, Larry the Cable Guy, Michael Caine",John Lasseter
Green Lantern,"$200,000,000","$219,851,172","Adventure, Action, Thriller, Science Fiction","Ryan Reynolds, Blake Lively, Peter Sarsgaard",Martin Campbell
Toy Story 3,"$200,000,000","$1,066,969,703","Animation, Family, Comedy","Tom Hanks, Tim Allen, Ned Beatty",Lee Unkrich
Terminator Salvation,"$200,000,000","$371,353,001","Action, Science Fiction, Thriller","Christian Bale, Sam Worthington, Anton Yelchin",McG
Furious 7,"$190,000,000","$1,506,249,360",Action,"Vin Diesel, Paul Walker, Dwayne Johnson",James Wan
World War Z,"$200,000,000","$531,865,000","Action, Drama, Horror, Science Fiction, Thriller","Brad Pitt, Mireille Enos, Abigail Hargrove",Marc Forster
X-Men: Days of Future Past,"$250,000,000","$747,862,775","Action, Adventure, Fantasy, Science Fiction","Hugh Jackman, James McAvoy, Michael Fassbender",Bryan Singer
Star Trek Into Darkness,"$190,000,000","$467,365,246","Action, Adventure, Science Fiction","Chris Pine, Zachary Quinto, Zoe Saldana",J.J. Abrams
Jack the Giant Slayer,"$195,000,000","$197,687,603","Action, Family, Fantasy","Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor",Bryan Singer
The Great Gatsby,"$105,000,000","$351,040,419","Drama, Romance","Leonardo DiCaprio, Tobey Maguire, Carey Mulligan",Baz Luhrmann
Prince of Persia: The Sands of Time,"$150,000,000","$335,154,643","Adventure, Fantasy, Action, Romance","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley",Mike Newell
Pacific Rim,"$180,000,000","$407,602,906","Action, Science Fiction, Adventure","Idris Elba, Charlie Hunnam, Charlie Day",Guillermo del Toro
Transformers: Dark of the Moon,"$195,000,000","$1,123,746,996","Action, Science Fiction, Adventure","Shia LaBeouf, John Malkovich, Ken Jeong",Michael Bay
Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$786,636,033","Adventure, Action","Harrison Ford, Cate Blanchett, Shia LaBeouf",Steven Spielberg
The Good Dinosaur,"$175,000,000","$331,926,147","Adventure, Animation, Family","Raymond Ochoa, Jack Bright, Jeffrey Wright",Peter Sohn
Brave,"$185,000,000","$538,983,207","Animation, Adventure, Comedy, Family, Action, Fantasy","Kelly Macdonald, Julie Walters, Billy Connolly",Brenda Chapman
Star Trek Beyond,"$185,000,000","$343,471,816","Action, Adventure, Science Fiction","Chris Pine, Zachary Quinto, Karl Urban",Justin Lin
WALL·E,"$180,000,000","$521,311,860","Animation, Family","Ben Burtt, Elissa Knight, Jeff Garlin",Andrew Stanton
Rush Hour 3,"$140,000,000","$258,022,233","Action, Comedy, Crime, Thriller","Chris Tucker, Jackie Chan, Hiroyuki Sanada",Brett Ratner
2012,"$200,000,000","$769,653,595","Action, Adventure, Science Fiction","John Cusack, Amanda Peet, Chiwetel Ejiofor",Roland Emmerich
A Christmas Carol,"$200,000,000","$325,233,863","Animation, Drama","Gary Oldman, Jim Carrey, Steve Valentine",Robert Zemeckis
Jupiter Ascending,"$176,000,003","$183,987,723","Science Fiction, Fantasy, Action, Adventure","Mila Kunis, Channing Tatum, Sean Bean",Lilly Wachowski
